iter	Passed	Remaining
399	43483	10870
400	43597	10763
401	43738	10662
402	43871	10559
403	43994	10454
404	44130	10351
405	44259	10247
406	44387	10142
407	44514	10037
408	44643	9932
409	44769	9827
410	44905	9723
411	45052	9622
412	45175	9516
413	45310	9412
414	45454	9309
415	45589	9205
416	45738	9103
417	45873	8999
418	46019	8896
419	46173	8794
420	46308	8689
421	46436	8583
422	46563	8476
423	46688	8368
424	46806	8260
425	46925	8151
426	47041	8042
427	47175	7936
428	47308	7829
429	47427	7720
430	47543	7611
431	47675	7504
432	47795	7395
433	47912	7286
434	48047	7179
435	48179	7072
436	48313	6965
437	48439	6856
438	48561	6747
439	48685	6638
440	48823	6531
441	48966	6425
442	49101	6317
443	49235	6209
444	49373	6102
445	49498	5993
446	49627	5884
447	49764	5776
448	49877	5665
449	49993	5554
450	50102	5443
451	50214	5332
452	50322	5221
453	50431	5109
454	50546	4999
455	50669	4889
456	50794	4779
457	50907	4668
458	51013	4556
459	51119	4445
460	51225	4333
461	51337	4222
462	51457	4112
463	51569	4001
464	51674	3889
465	51787	3778
466	51898	3667
467	52007	3556
468	52110	3444
469	52212	3332
470	52316	3221
471	52425	3109
472	52544	2999
473	52654	2888
474	52762	2776
475	52872	2665
476	52980	2554
477	53088	2443
478	53192	2332
479	53295	2220
480	53402	2109
481	53513	1998
482	53629	1887
483	53735	1776
484	53840	1665
485	53950	1554
486	54058	1443
487	54168	1332
488	54277	1220
489	54383	1109
490	54488	998
491	54598	887
492	54705	776
493	54810	665
494	54919	554
495	55034	443
496	55141	332
497	55245	221
498	55353	110
499	55460	0
