iter	RMSE
193	0.2478789348
194	0.2467707631
195	0.2464327581
196	0.2457427884
197	0.2452346417
198	0.2442731996
199	0.2436786856
200	0.2435973617
201	0.2435216772
202	0.2435137688
203	0.243260728
204	0.242933135
205	0.2426060617
206	0.241620366
207	0.2410826115
208	0.2407609333
209	0.2406938575
210	0.2401682783
211	0.2398807087
212	0.2394273929
213	0.2386306513
214	0.2383090674
215	0.2373458991
216	0.2365699677
217	0.236166332
218	0.2356620349
219	0.234758013
220	0.2341270971
221	0.2336761594
222	0.2332839904
223	0.23240379
224	0.231630293
225	0.2308077607
226	0.2301954142
227	0.2300524747
228	0.229533395
229	0.2288057699
230	0.2284897201
231	0.2278767125
232	0.227642343
233	0.2269943235
234	0.2262766476
235	0.2258127667
236	0.225084829
237	0.2249479131
238	0.2243214077
239	0.2239741879
240	0.2234406413
241	0.2228367871
242	0.2214127607
243	0.2208852955
244	0.2207182333
245	0.2202178683
246	0.2193541214
247	0.2193161674
248	0.2190143028
249	0.2185207596
250	0.2182042047
251	0.2178403982
252	0.2175492552
253	0.2171174769
254	0.2166801427
255	0.2164459163
256	0.2153772359
257	0.2148598544
258	0.2146732325
259	0.2144851317
260	0.2140362107
261	0.2138360813
262	0.2133450874
263	0.2127071991
264	0.212322749
265	0.2117675734
266	0.2116367207
267	0.2107334645
268	0.2099571194
269	0.2098061104
270	0.209567819
271	0.2093172634
272	0.2085135058
273	0.2080702155
274	0.2078672078
275	0.2074664349
276	0.2073326825
277	0.207311922
278	0.2070198912
279	0.2067348499
280	0.2064154601
281	0.20587073
282	0.2050075303
283	0.2045212925
284	0.2044330518
285	0.2038816987
286	0.2031770011
287	0.2026166948
288	0.2022611711
289	0.2014940726
290	0.2007819737
291	0.2000610915
292	0.199604508
293	0.1989163027
294	0.1983905338
295	0.19818355
296	0.1975099302
297	0.1972478219
298	0.1965974813
299	0.1962055045
300	0.1958632032
301	0.1955683239
302	0.1951897151
303	0.1946540843
304	0.193844159
305	0.193485391
306	0.1930262783
307	0.1926430177
308	0.1917319822
309	0.1914155315
310	0.1910361999
311	0.1905391925
312	0.1898582257
313	0.1894076113
314	0.1891984841
315	0.1889048392
316	0.1882401854
317	0.1879555919
318	0.1876754131
319	0.1876226869
320	0.1872094796
321	0.1869090841
322	0.1864045013
323	0.1861546338
324	0.1861410301
325	0.1859195802
326	0.1853064205
327	0.1847058114
328	0.1844789739
329	0.1841851131
330	0.183928096
331	0.1836016521
332	0.1833771172
333	0.1830064927
334	0.182547486
335	0.1821964664
336	0.1817879465
337	0.1811412415
338	0.180593433
339	0.1804934719
340	0.1803369398
341	0.1800564052
342	0.1796939676
343	0.1793917807
344	0.1790475001
345	0.1787313924
346	0.1784670693
347	0.1784169446
348	0.1777274969
349	0.177511867
350	0.1774614213
351	0.1765053088
352	0.1762752562
353	0.1758357869
354	0.1751989465
355	0.1749756901
356	0.1744927059
357	0.1741389487
358	0.1739060952
359	0.1735172358
360	0.1731800768
361	0.1729766925
362	0.1729756283
363	0.1725616295
364	0.1721265156
365	0.1716314611
366	0.1713875639
367	0.1710412959
368	0.170777132
369	0.1704343421
370	0.1704003136
371	0.1701272567
372	0.170076857
373	0.1700318856
374	0.1697667766
375	0.1692207228
376	0.1690182813
377	0.1684226114
378	0.1680613337
379	0.167746204
380	0.1671842021
381	0.1667963099
382	0.1666616932
383	0.1663114898
384	0.1660830675
385	0.1658277895
386	0.1656631388
387	0.1654180758
388	0.1649337399
389	0.1648232563
390	0.1644941585
391	0.1641939971
392	0.1638342422
393	0.1632710129
394	0.1632423461
395	0.162798979
396	0.1626970245
397	0.1624428829
398	0.1619884829
399	0.1618119783
400	0.1616050962
401	0.1612015011
402	0.1609014458
403	0.1606468126
404	0.1603368853
405	0.1601990157
406	0.1599263991
407	0.1595786925
408	0.1593224114
409	0.1591068528
410	0.1589197801
411	0.1587008225
412	0.15847147
413	0.1578387843
414	0.1574469656
415	0.1574251511
416	0.1572875374
417	0.1569958831
418	0.156517873
419	0.1563176511
420	0.1561416207
421	0.1559349179
422	0.1558331365
423	0.1556300621
424	0.1553573841
425	0.1551242678
426	0.1549612129
427	0.1547326958
428	0.1544063251
429	0.1542657897
430	0.1541513758
431	0.1539721625
432	0.153515769
433	0.1533345654
434	0.152969953
435	0.1528020844
436	0.1524468868
437	0.1524047393
438	0.1520194977
439	0.151672035
440	0.1514893571
441	0.151025012
442	0.1506024021
443	0.150069639
444	0.1499717176
445	0.1497397599
446	0.1495916887
447	0.1494384141
448	0.1492657238
449	0.1490071161
450	0.1485700818
451	0.1482625372
452	0.1481167626
453	0.1477628101
454	0.1477228392
455	0.1473747911
456	0.1473357039
457	0.1472643138
458	0.1468421942
459	0.1465579288
460	0.1463650439
461	0.1462705326
462	0.1459164449
463	0.1457253534
464	0.145391192
465	0.1453441295
466	0.1452187141
467	0.1449824071
468	0.1445972998
469	0.1441844797
470	0.1440127861
471	0.1438459804
472	0.14377274
473	0.1435589271
474	0.1433057832
475	0.143184124
476	0.1430016027
477	0.1428972819
478	0.1426913812
479	0.1424963817
480	0.142092587
481	0.1419015812
482	0.1418659266
483	0.1416762178
484	0.1413960047
485	0.1410622156
486	0.1408557957
487	0.1407363268
488	0.1405012197
489	0.140464204
490	0.1403868828
491	0.1402247565
492	0.1400810453
493	0.1399202886
494	0.1397523399
495	0.1394905422
496	0.1393604127
497	0.1389383701
498	0.1387493187
499	0.1384621475
